Threshold,Model_NetBenefit,TreatAll_NetBenefit,TreatNone_NetBenefit,Model
0.5,0.2019230769230769,-0.23076923076923078,0.0,LR sparse stable
0.51,0.1983908948194662,-0.2558869701726845,0.0,LR sparse stable
0.52,0.19471153846153844,-0.2820512820512821,0.0,LR sparse stable
0.53,0.19087561374795414,-0.30932896890343714,0.0,LR sparse stable
0.54,0.18687290969899661,-0.3377926421404683,0.0,LR sparse stable
0.55,0.18269230769230765,-0.3675213675213677,0.0,LR sparse stable
0.56,0.17832167832167828,-0.3986013986013987,0.0,LR sparse stable
0.5700000000000001,0.15742397137745973,-0.4311270125223616,0.0,LR sparse stable
0.5800000000000001,0.1547619047619047,-0.4652014652014655,0.0,LR sparse stable
0.5900000000000001,0.15196998123827388,-0.5009380863039403,0.0,LR sparse stable
0.6000000000000001,0.1490384615384615,-0.538461538461539,0.0,LR sparse stable
0.6100000000000001,0.145956607495069,-0.577909270216963,0.0,LR sparse stable
0.6200000000000001,0.1427125506072874,-0.6194331983805672,0.0,LR sparse stable
0.63,0.1392931392931393,-0.6632016632016633,0.0,LR sparse stable
0.64,0.13568376068376065,-0.7094017094017095,0.0,LR sparse stable
0.65,0.13186813186813184,-0.7582417582417584,0.0,LR sparse stable
0.66,0.12782805429864252,-0.809954751131222,0.0,LR sparse stable
0.67,0.11873543123543122,-0.8648018648018652,0.0,LR sparse stable
0.68,0.11418269230769229,-0.9230769230769234,0.0,LR sparse stable
0.6900000000000001,0.09010545905707192,-0.9851116625310179,0.0,LR sparse stable
0.7000000000000001,0.0849358974358974,-1.0512820512820518,0.0,LR sparse stable
0.7100000000000001,0.07940981432360736,-1.1220159151193643,0.0,LR sparse stable
0.7200000000000001,0.07348901098901092,-1.1978021978021987,0.0,LR sparse stable
0.7300000000000001,0.06712962962962954,-1.2792022792022801,0.0,LR sparse stable
0.7400000000000001,0.0602810650887573,-1.3668639053254448,0.0,LR sparse stable
0.7500000000000001,0.0288461538461538,-1.4615384615384628,0.0,LR sparse stable
0.76,0.024839743589743585,-1.5641025641025643,0.0,LR sparse stable
0.77,0.020484949832775906,-1.675585284280937,0.0,LR sparse stable
0.78,0.01573426573426573,-1.7972027972027975,0.0,LR sparse stable
0.79,0.010531135531135508,-1.930402930402931,0.0,LR sparse stable
0.8,0.004807692307692277,-2.0769230769230775,0.0,LR sparse stable
0.05,0.3567813765182186,0.3522267206477733,0.0,LR interaction Acc
0.060000000000000005,0.347892798690671,0.3453355155482815,0.0,LR interaction Acc
0.07,0.3380893300248139,0.3382961124896609,0.0,LR interaction Acc
0.08,0.334866220735786,0.3311036789297659,0.0,LR interaction Acc
0.09,0.3317307692307692,0.3237531699070161,0.0,LR interaction Acc
0.1,0.32905982905982906,0.3162393162393162,0.0,LR interaction Acc
0.11,0.3262748487467589,0.30855661192739847,0.0,LR interaction Acc
0.12000000000000001,0.31643356643356646,0.30069930069930073,0.0,LR interaction Acc
0.13,0.3134394341290893,0.2926613616268789,0.0,LR interaction Acc
0.14,0.30914579606440074,0.2844364937388193,0.0,LR interaction Acc
0.15000000000000002,0.30175339366515835,0.27601809954751133,0.0,LR interaction Acc
0.16,0.30036630036630035,0.2673992673992674,0.0,LR interaction Acc
0.16999999999999998,0.2994091751621872,0.2585727525486562,0.0,LR interaction Acc
0.18,0.29573170731707316,0.24953095684803006,0.0,LR interaction Acc
0.19,0.28614672364672367,0.24026590693257363,0.0,LR interaction Acc
0.2,0.28365384615384615,0.23076923076923078,0.0,LR interaction Acc
0.21000000000000002,0.2790895813047712,0.22103213242453748,0.0,LR interaction Acc
0.22000000000000003,0.270956607495069,0.2110453648915187,0.0,LR interaction Acc
0.22999999999999998,0.26286213786213786,0.20079920079920083,0.0,LR interaction Acc
0.24,0.2641700404858299,0.19028340080971662,0.0,LR interaction Acc
0.25,0.2676282051282051,0.17948717948717952,0.0,LR interaction Acc
0.26,0.26845114345114346,0.1683991683991684,0.0,LR interaction Acc
0.27,0.2696917808219178,0.15700737618545837,0.0,LR interaction Acc
0.28,0.2751068376068376,0.14529914529914528,0.0,LR interaction Acc
0.29,0.27458017334777896,0.133261105092091,0.0,LR interaction Acc
0.3,0.2637362637362637,0.1208791208791209,0.0,LR interaction Acc
0.31,0.2573160535117057,0.10813823857302113,0.0,LR interaction Acc
0.32,0.25395927601809953,0.09502262443438914,0.0,LR interaction Acc
0.33,0.24856486796785304,0.08151549942594716,0.0,LR interaction Acc
0.33999999999999997,0.2481060606060606,0.0675990675990677,0.0,LR interaction Acc
0.35,0.2451923076923077,0.05325443786982248,0.0,LR interaction Acc
0.36,0.24008413461538464,0.03846153846153849,0.0,LR interaction Acc
0.37,0.2483974358974359,0.023199023199023172,0.0,LR interaction Acc
0.38,0.2391439205955335,0.00744416873449133,0.0,LR interaction Acc
0.39,0.22698612862547285,-0.008827238335435084,0.0,LR interaction Acc
0.4,0.21955128205128205,-0.02564102564102566,0.0,LR interaction Acc
0.41,0.20241199478487615,-0.04302477183833103,0.0,LR interaction Acc
0.42,0.1996021220159151,-0.061007957559681636,0.0,LR interaction Acc
0.43,0.20032051282051283,-0.07962213225371112,0.0,LR interaction Acc
