N,Events,Prevalence,Threshold,TP,FP,TN,FN,ROC_AUC,PR_AUC,PR_AUC_Lift,Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Balanced_Accuracy,Brier,Net_Benefit,TreatAll_NetBenefit,TreatNone_NetBenefit
208,80,0.38461538461538464,0.16999999999999993,69,54,74,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6875,0.8625,0.578125,0.5609756097560976,0.8705882352941177,0.6798029556650246,0.7203125,0.14696136317623856,0.2785565338276182,0.2585727525486562,0.0
208,80,0.38461538461538464,0.17499999999999993,69,54,74,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6875,0.8625,0.578125,0.5609756097560976,0.8705882352941177,0.6798029556650246,0.7203125,0.14696136317623856,0.27666083916083917,0.25407925407925414,0.0
208,80,0.38461538461538464,0.17999999999999994,69,54,74,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6875,0.8625,0.578125,0.5609756097560976,0.8705882352941177,0.6798029556650246,0.7203125,0.14696136317623856,0.27474202626641653,0.2495309568480301,0.0
208,80,0.38461538461538464,0.18499999999999994,69,54,74,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6875,0.8625,0.578125,0.5609756097560976,0.8705882352941177,0.6798029556650246,0.7203125,0.14696136317623856,0.2727996696554979,0.24492685228881556,0.0
208,80,0.38461538461538464,0.18999999999999995,69,54,74,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6875,0.8625,0.578125,0.5609756097560976,0.8705882352941177,0.6798029556650246,0.7203125,0.14696136317623856,0.2708333333333333,0.24026590693257366,0.0
208,80,0.38461538461538464,0.19499999999999995,69,54,74,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6875,0.8625,0.578125,0.5609756097560976,0.8705882352941177,0.6798029556650246,0.7203125,0.14696136317623856,0.26884257047300525,0.2355470616340182,0.0
208,80,0.38461538461538464,0.1999999999999999,69,54,74,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6875,0.8625,0.578125,0.5609756097560976,0.8705882352941177,0.6798029556650246,0.7203125,0.14696136317623856,0.26682692307692313,0.23076923076923087,0.0
208,80,0.38461538461538464,0.2049999999999999,69,54,74,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.6875,0.8625,0.578125,0.5609756097560976,0.8705882352941177,0.6798029556650246,0.7203125,0.14696136317623856,0.26478592162554426,0.22593130140299963,0.0
208,80,0.38461538461538464,0.2099999999999999,69,50,78,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7067307692307693,0.8625,0.609375,0.5798319327731093,0.8764044943820225,0.6934673366834171,0.7359375,0.14696136317623856,0.2678310613437196,0.2210321324245376,0.0
208,80,0.38461538461538464,0.2149999999999999,69,50,78,11,0.8541503906250001,0.7592854275101233,1.9741421115263205,0.7067307692307693,0.8625,0.609375,0.5798319327731093,0.8764044943820225,0.6934673366834171,0.7359375,0.14696136317623856,0.26589294463498286,0.2160705536501716,0.0
