Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
3-Month,Train_Fit,Train Fit,MLP,recall,Sensitivity,0.806949806949807,0.3199999999999998,795,259
3-Month,Train_Fit,Train Fit,MLP,specificity,Specificity,0.8115671641791045,0.3199999999999998,795,259
3-Month,Train_Fit,Train Fit,MLP,f1,F1,0.7346221441124781,0.3199999999999998,795,259
3-Month,Validation_OOF,Validation OOF,MLP,auc,AUC,0.838493344090359,0.3199999999999998,795,259
3-Month,Validation_OOF,Validation OOF,MLP,acc,Accuracy,0.7761006289308177,0.3199999999999998,795,259
3-Month,Validation_OOF,Validation OOF,MLP,recall,Sensitivity,0.7799227799227799,0.3199999999999998,795,259
3-Month,Validation_OOF,Validation OOF,MLP,specificity,Specificity,0.7742537313432836,0.3199999999999998,795,259
3-Month,Validation_OOF,Validation OOF,MLP,f1,F1,0.6941580756013745,0.3199999999999998,795,259
3-Month,Test_Temporal,Temporal Test,MLP,auc,AUC,0.84345703125,0.3199999999999998,208,80
3-Month,Test_Temporal,Temporal Test,MLP,acc,Accuracy,0.7788461538461539,0.3199999999999998,208,80
3-Month,Test_Temporal,Temporal Test,MLP,recall,Sensitivity,0.8125,0.3199999999999998,208,80
3-Month,Test_Temporal,Temporal Test,MLP,specificity,Specificity,0.7578125,0.3199999999999998,208,80
3-Month,Test_Temporal,Temporal Test,MLP,f1,F1,0.7386363636363636,0.3199999999999998,208,80
3-Month,Train_Fit,Train Fit,LightGBM,auc,AUC,0.996542384602086,0.4449999999999998,795,259
3-Month,Train_Fit,Train Fit,LightGBM,acc,Accuracy,0.9522012578616352,0.4449999999999998,795,259
3-Month,Train_Fit,Train Fit,LightGBM,recall,Sensitivity,0.9922779922779924,0.4449999999999998,795,259
3-Month,Train_Fit,Train Fit,LightGBM,specificity,Specificity,0.9328358208955224,0.4449999999999998,795,259
3-Month,Train_Fit,Train Fit,LightGBM,f1,F1,0.9311594202898552,0.4449999999999998,795,259
3-Month,Validation_OOF,Validation OOF,LightGBM,auc,AUC,0.8382988532242264,0.4449999999999998,795,259
3-Month,Validation_OOF,Validation OOF,LightGBM,acc,Accuracy,0.7823899371069183,0.4449999999999998,795,259
3-Month,Validation_OOF,Validation OOF,LightGBM,recall,Sensitivity,0.7258687258687259,0.4449999999999998,795,259
3-Month,Validation_OOF,Validation OOF,LightGBM,specificity,Specificity,0.8097014925373134,0.4449999999999998,795,259
3-Month,Validation_OOF,Validation OOF,LightGBM,f1,F1,0.6848816029143898,0.4449999999999998,795,259
3-Month,Test_Temporal,Temporal Test,LightGBM,auc,AUC,0.8501953125,0.4449999999999998,208,80
3-Month,Test_Temporal,Temporal Test,LightGBM,acc,Accuracy,0.7740384615384616,0.4449999999999998,208,80
3-Month,Test_Temporal,Temporal Test,LightGBM,recall,Sensitivity,0.75,0.4449999999999998,208,80
3-Month,Test_Temporal,Temporal Test,LightGBM,specificity,Specificity,0.7890625,0.4449999999999998,208,80
3-Month,Test_Temporal,Temporal Test,LightGBM,f1,F1,0.718562874251497,0.4449999999999998,208,80
3-Month,Train_Fit,Train Fit,Elastic+LGBM Blend,auc,AUC,0.9499582204806086,0.4149999999999998,795,259
3-Month,Train_Fit,Train Fit,Elastic+LGBM Blend,acc,Accuracy,0.8779874213836478,0.4149999999999998,795,259
3-Month,Train_Fit,Train Fit,Elastic+LGBM Blend,recall,Sensitivity,0.8146718146718147,0.4149999999999998,795,259
3-Month,Train_Fit,Train Fit,Elastic+LGBM Blend,specificity,Specificity,0.9085820895522388,0.4149999999999998,795,259
3-Month,Train_Fit,Train Fit,Elastic+LGBM Blend,f1,F1,0.8131021194605009,0.4149999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Elastic+LGBM Blend,auc,AUC,0.8513657580821761,0.4149999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Elastic+LGBM Blend,acc,Accuracy,0.8062893081761007,0.4149999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Elastic+LGBM Blend,recall,Sensitivity,0.6795366795366795,0.4149999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Elastic+LGBM Blend,specificity,Specificity,0.8675373134328358,0.4149999999999998,795,259
3-Month,Validation_OOF,Validation OOF,Elastic+LGBM Blend,f1,F1,0.6956521739130435,0.4149999999999998,795,259
3-Month,Test_Temporal,Temporal Test,Elastic+LGBM Blend,auc,AUC,0.8569335937500001,0.4149999999999998,208,80
3-Month,Test_Temporal,Temporal Test,Elastic+LGBM Blend,acc,Accuracy,0.8028846153846154,0.4149999999999998,208,80
3-Month,Test_Temporal,Temporal Test,Elastic+LGBM Blend,recall,Sensitivity,0.7375,0.4149999999999998,208,80
3-Month,Test_Temporal,Temporal Test,Elastic+LGBM Blend,specificity,Specificity,0.84375,0.4149999999999998,208,80
3-Month,Test_Temporal,Temporal Test,Elastic+LGBM Blend,f1,F1,0.7421383647798742,0.4149999999999998,208,80
3-Month,Train_Fit,Train Fit,Elastic+LGBM Blend Routed,auc,AUC,0.9753572869244512,0.4249999999999998,795,259
3-Month,Train_Fit,Train Fit,Elastic+LGBM Blend Routed,acc,Accuracy,0.9132075471698112,0.4249999999999998,795,259
