Variant,Feature
D_MomentumPlusEarlyRisk,Eval_18M_Code
D_MomentumPlusEarlyRisk,Eval_18M_Hyper
D_MomentumPlusEarlyRisk,Eval_18M_Normal
D_MomentumPlusEarlyRisk,Eval_18M_Hypo
D_MomentumPlusEarlyRisk,Eval_18M_Missing
D_MomentumPlusEarlyRisk,PctDrop_FT3_0_3M
D_MomentumPlusEarlyRisk,PctDrop_FT3_0_6M
D_MomentumPlusEarlyRisk,PctDrop_FT3_0_12M
D_MomentumPlusEarlyRisk,PctDrop_FT3_0_18M
D_MomentumPlusEarlyRisk,PctDrop_FT4_0_3M
D_MomentumPlusEarlyRisk,PctDrop_FT4_0_6M
D_MomentumPlusEarlyRisk,PctDrop_FT4_0_12M
D_MomentumPlusEarlyRisk,PctDrop_FT4_0_18M
D_MomentumPlusEarlyRisk,PctDrop_TSH_0_3M
D_MomentumPlusEarlyRisk,PctDrop_TSH_0_6M
D_MomentumPlusEarlyRisk,PctDrop_TSH_0_12M
D_MomentumPlusEarlyRisk,PctDrop_TSH_0_18M
D_MomentumPlusEarlyRisk,EarlyNHRHRisk
