Step,BlocksIncluded,NFeatures,Split,Landmark,N,Events,ROC_AUC,PR_AUC,Brier,ROC_AUC_CI_Low,ROC_AUC_CI_High,CalibIntercept,CalibSlope
M2-Base.3 (+ D),A+B+C+D,14,Development,1M,802,292,0.7316881547139402,0.6293447681879722,0.19564170646948148,0.6961580183524171,0.7677470811741173,-0.0026886800056859722,0.9953720144052294
M2-Base.3 (+ D),A+B+C+D,14,Development,3M,802,292,0.7768734891216761,0.6584716467691439,0.18368863715851844,0.745889953346382,0.8101390341890143,-0.00164458099219315,0.9967585156291545
M2-Base.3 (+ D),A+B+C+D,14,Development,6M,802,292,0.7551168412570507,0.635103405107586,0.19049657691259655,0.7232690175646723,0.7892449033112997,-0.002017411149199268,0.9963272452929157
M2-Base.3 (+ D),A+B+C+D,14,Development,Pooled,3208,1168,0.7466009434595755,0.6334437246387867,0.1922708164971827,0.7142537194496451,0.7798801828928184,0.0025634130665364947,1.0046378577823174
M2-Base.3 (+ D),A+B+C+D,14,Temporal,0M,201,82,0.6813896290223406,0.6690595579510543,0.20820700495497368,0.5997056669591306,0.7594468742141905,0.008355024168550988,0.9349945391885277
M2-Base.3 (+ D),A+B+C+D,14,Temporal,1M,201,82,0.7013732322197171,0.6775239371272115,0.20497444869738213,0.6265413408113847,0.7768544238683127,0.02135061302696359,0.9566640652033727
M2-Base.3 (+ D),A+B+C+D,14,Temporal,3M,201,82,0.7388809182209469,0.7029567410247453,0.19658541983266514,0.6704447305005113,0.8084294297656366,0.009605261594773195,0.8368106087047263
M2-Base.3 (+ D),A+B+C+D,14,Temporal,6M,201,82,0.7153105144496823,0.684041228760665,0.20413165493959903,0.6431492700699428,0.7873340022306735,-0.02052587162466852,0.8519834167400159
M2-Base.3 (+ D),A+B+C+D,14,Temporal,Pooled,804,328,0.711698093871695,0.6822956533589716,0.203474632106155,0.640700815746379,0.7814326732295481,0.009602925688597155,0.9094409178708176
M2-Base.4 (+ E full),A+B+C+D+E,21,Development,0M,802,292,0.7096226161697555,0.6089787086158689,0.20075318434570738,0.6722935675760845,0.7479210448253178,-0.0030615107082324826,0.9945646019518163
M2-Base.4 (+ E full),A+B+C+D+E,21,Development,1M,802,292,0.7356835885038947,0.6343615912517746,0.19326539171935028,0.7016217282283784,0.7728445087708323,-0.0025973442386216746,0.9955326235028122
M2-Base.4 (+ E full),A+B+C+D+E,21,Development,3M,802,292,0.8086287939833467,0.7198465623098176,0.16885622976917142,0.7797454508529755,0.8391706418322163,-0.0014663515012694345,0.9971306948344516
M2-Base.4 (+ E full),A+B+C+D+E,21,Development,6M,802,292,0.808474348643567,0.7218200782351463,0.1676868962185448,0.7768097024631527,0.8388195821636177,-0.000759553664790146,0.9985540927026196
M2-Base.4 (+ E full),A+B+C+D+E,21,Development,Pooled,3208,1168,0.7696829673650282,0.6749338482638287,0.1826404255131935,0.7411519386709579,0.8005129472071218,0.0022251373377772427,1.0040667207479033
M2-Base.4 (+ E full),A+B+C+D+E,21,Temporal,0M,201,82,0.6787251485960237,0.6704794512041677,0.20838928665986295,0.5966545994710224,0.7568739274989275,0.032298427068274994,0.9682275292546075
M2-Base.4 (+ E full),A+B+C+D+E,21,Temporal,1M,201,82,0.7211518753843,0.6803904018732165,0.20207727247692708,0.6481153865054794,0.792957489927131,0.06201934584604343,0.9854344241060665
M2-Base.4 (+ E full),A+B+C+D+E,21,Temporal,3M,201,82,0.7700348432055749,0.7281934009337423,0.1873139302902895,0.7066373199536664,0.8326044876861111,0.02006761488065224,0.8327293657827284
M2-Base.4 (+ E full),A+B+C+D+E,21,Temporal,6M,201,82,0.7699323631891781,0.7376815389604787,0.18542970366443917,0.7046384825490921,0.8345037225076595,0.03596572138943221,0.8659098065831828
M2-Base.4 (+ E full),A+B+C+D+E,21,Temporal,Pooled,804,328,0.7386247181799549,0.7041969997737783,0.19580254827287966,0.6759797768113271,0.8030105363486177,0.03641654551076563,0.9170629829681072
